Year,Most_Prominent_Genre,track_count,median_energy,median_tempo,median_danceability,median_loudness,median_liveness,median_valence,median_speechiness,median_instrumentalness,median_acousticness,median_track_popularity
2008,pop,10,0.7495,120.83500000000001,0.7645,-4.525,0.09964999999999999,0.7144999999999999,0.0497,8.6e-07,0.03025,75.5
2009,pop,4,0.804,112.032,0.725,-5.804,0.20750000000000002,0.435,0.051449999999999996,1.06e-05,0.13015,74.5
2010,pop,5,0.837,120.012,0.663,-4.582,0.104,0.591,0.0422,0.0,0.0338,81.0
2011,pop,8,0.8115,124.9735,0.6165,-5.5245,0.1935,0.47850000000000004,0.04345,0.0,0.03905,76.5
2012,pop,19,0.71,127.99,0.666,-4.457,0.116,0.66,0.0489,0.0,0.055,76.0
2013,electronic,9,0.809,116.047,0.701,-6.869,0.131,0.498,0.0558,6.53e-06,0.0391,70.0
2014,electronic,13,0.754,125.983,0.596,-5.414,0.193,0.457,0.0433,1.41e-05,0.129,75.0
2015,electronic,9,0.805,123.063,0.579,-4.145,0.198,0.432,0.0527,0.0,0.0594,74.0
2016,electronic,11,0.714,121.999,0.631,-5.371,0.111,0.425,0.0409,3.17e-05,0.109,77.0
2017,hip-hop,15,0.57,129.953,0.76,-7.002,0.114,0.364,0.133,0.0,0.138,72.0
2018,hip-hop,14,0.556,120.0795,0.8075,-6.615,0.11699999999999999,0.376,0.214,0.0,0.1455,72.0
2019,latin,15,0.675,96.993,0.771,-4.443,0.138,0.641,0.225,1.2e-06,0.292,70.0
2020,latin,17,0.637,97.014,0.731,-4.835,0.114,0.682,0.0646,6.63e-06,0.169,72.0
2021,latin,16,0.7044999999999999,117.0065,0.741,-4.59,0.1075,0.6025,0.0728,1.76e-06,0.23149999999999998,70.0
2022,latin,31,0.684,107.007,0.771,-5.745,0.126,0.53,0.0678,1.24e-06,0.275,74.0
2023,latin,24,0.7304999999999999,107.4865,0.7895000000000001,-4.976,0.1155,0.5700000000000001,0.06935,1.215e-06,0.1485,74.5
2024,hip-hop,59,0.685,124.13,0.731,-5.679,0.142,0.427,0.172,0.0,0.112,73.0
